,Blinkroot,Daybloom,Deathweed,Fireblossom,Moonglow,Shiverthorn,Waterleaf
Herb_Bag_386,17,12,25,22,32,29,12
Herb_Bag_387,15,17,22,15,22,13,9
Herb_Bag_388,20,20,8,23,27,8,13
Herb_Bag_389,11,17,15,6,24,23,14
Herb_Bag_390,19,13,33,25,34,15,12
Herb_Bag_391,17,20,29,25,32,15,4
Herb_Bag_392,16,9,39,13,27,36,11
Herb_Bag_393,34,7,32,28,23,32,15
Herb_Bag_394,19,8,57,21,26,8,8
Herb_Bag_395,16,17,40,28,28,13,10
Herb_Bag_396,23,11,24,0,34,15,12
Herb_Bag_397,10,25,35,23,22,31,11
Herb_Bag_398,2,24,9,0,33,29,1
Herb_Bag_399,25,11,43,19,27,24,12
Herb_Bag_400,19,25,15,19,41,21,11
Herb_Bag_401,31,15,10,14,34,3,10
Herb_Bag_402,25,20,40,17,31,27,7
Herb_Bag_403,16,21,8,8,23,20,15
Herb_Bag_404,23,19,22,14,11,30,7
Herb_Bag_405,22,24,28,16,36,1,12
Herb_Bag_406,12,26,34,31,35,28,7
Herb_Bag_407,8,21,6,5,27,16,9
Herb_Bag_408,21,8,22,21,30,8,14
Herb_Bag_409,16,22,11,22,30,29,6
Herb_Bag_410,23,25,28,23,30,18,15
Herb_Bag_411,13,13,0,11,19,8,8
Herb_Bag_412,16,18,46,12,34,38,2
Herb_Bag_413,17,21,21,16,34,6,6
Herb_Bag_414,21,23,46,13,35,21,13
Herb_Bag_415,25,21,27,16,22,22,14
Herb_Bag_416,4,13,27,17,13,25,9
Herb_Bag_417,27,12,0,7,29,40,11
Herb_Bag_418,6,24,20,12,27,8,2
Herb_Bag_419,18,18,22,0,12,16,18
Herb_Bag_420,2,12,19,10,22,44,9
Herb_Bag_421,8,9,44,20,31,32,11
Herb_Bag_422,19,19,42,19,25,19,7
Herb_Bag_423,17,14,41,20,21,18,12
Herb_Bag_424,6,5,33,0,22,12,16
Herb_Bag_425,9,27,21,18,22,24,11
Herb_Bag_426,22,15,20,2,24,24,7
Herb_Bag_427,28,21,40,11,22,11,5
Herb_Bag_428,2,29,30,28,33,24,6
Herb_Bag_429,7,14,13,2,27,2,8
Herb_Bag_430,14,7,19,12,29,18,17
Herb_Bag_431,15,25,18,24,32,18,20
Herb_Bag_432,20,17,0,0,19,4,8
Herb_Bag_433,14,24,31,26,33,12,10
Herb_Bag_434,16,16,5,28,28,25,18
Herb_Bag_435,30,20,27,15,32,43,10
Herb_Bag_436,26,16,16,9,22,15,16
Herb_Bag_437,15,25,3,1,28,7,9
Herb_Bag_438,5,10,10,20,34,29,13
Herb_Bag_439,31,16,33,13,22,17,13
Herb_Bag_440,19,12,16,20,20,19,15
Herb_Bag_441,10,17,32,8,30,3,6
Herb_Bag_442,17,17,36,18,27,26,9
Herb_Bag_443,21,17,18,6,27,25,13
Herb_Bag_444,17,19,11,6,25,27,2
Herb_Bag_445,12,19,20,14,22,26,10
Herb_Bag_446,26,21,18,6,23,29,5
Herb_Bag_447,6,16,0,23,23,9,11
Herb_Bag_448,0,20,22,26,28,25,8
Herb_Bag_449,12,14,34,14,21,9,7
Herb_Bag_450,17,20,23,18,30,18,8
Herb_Bag_451,29,18,29,7,32,44,11
Herb_Bag_452,18,7,33,8,31,19,9
Herb_Bag_453,33,11,16,29,33,16,13
Herb_Bag_454,31,23,25,16,33,35,7
Herb_Bag_455,30,10,24,29,28,4,10
Herb_Bag_456,18,20,0,10,19,10,18
Herb_Bag_457,23,12,27,8,23,29,12
Herb_Bag_458,18,12,3,17,13,12,15
Herb_Bag_459,11,14,38,15,20,25,8
Herb_Bag_460,0,10,24,17,21,36,9
Herb_Bag_461,12,15,62,9,23,14,6
Herb_Bag_462,28,13,3,7,21,8,15
Herb_Bag_463,17,14,27,3,28,13,12
Herb_Bag_464,16,11,7,14,27,21,16
